TIMESTAMP,YEAR1,MONTH1,DAY1,HOUR1,MM0,MM1,MM2,MM11,MM12,MM13,location,wind,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,lag25,lag26,lag27,lag28,lag29,lag30,lag31,lag32,lag33,lag34,lag35,lag36,lag37,lag38,lag39,lag40,lag41,lag42,lag43,lag44,lag45,lag46,lag47,lag48
2013030100,2013,3,1,0,0.27710928133064516,0.26662343394940474,0.23122069222311828,0.25611627456111113,0.27547535683467744,0.23739203283764368,W1,0.759515066,0.752748788,0.506531335,0.339629726,0.290010333,0.249318671,0.36180809,0.236349962,0.298092281,0.30006578,0.268019917,0.183723328,0.183159472,0.170378721,0.271027152,0.466121602,0.507940967,0.464148093,0.568649557,0.555116987,0.430504639,0.453340839,0.528239811,0.475143297,0.459731217,0.26473075,0.231463204,0.268489803,0.468189074,0.520627748,0.306362177,0.343670698,0.490555389,0.50747109,0.359082786,0.281458499,0.380791274,0.401090121,0.540080807,0.558970011,0.336246592,0.204210128,0.09538577,0.133070199,0.059862794,0.036838644,0.075556807,0.06117846,0.113993043
2013030101,2013,3,1,1,0.27710928133064516,0.26662343394940474,0.23122069222311828,0.25611627456111113,0.27547535683467744,0.23739203283764368,W1,0.488863825,0.759515066,0.752748788,0.506531335,0.339629726,0.290010333,0.249318671,0.36180809,0.236349962,0.298092281,0.30006578,0.268019917,0.183723328,0.183159472,0.170378721,0.271027152,0.466121602,0.507940967,0.464148093,0.568649557,0.555116987,0.430504639,0.453340839,0.528239811,0.475143297,0.459731217,0.26473075,0.231463204,0.268489803,0.468189074,0.520627748,0.306362177,0.343670698,0.490555389,0.50747109,0.359082786,0.281458499,0.380791274,0.401090121,0.540080807,0.558970011,0.336246592,0.204210128,0.09538577,0.133070199,0.059862794,0.036838644,0.075556807,0.06117846
2013030102,2013,3,1,2,0.27710928133064516,0.26662343394940474,0.23122069222311828,0.25611627456111113,0.27547535683467744,0.23739203283764368,W1,0.399210589,0.488863825,0.759515066,0.752748788,0.506531335,0.339629726,0.290010333,0.249318671,0.36180809,0.236349962,0.298092281,0.30006578,0.268019917,0.183723328,0.183159472,0.170378721,0.271027152,0.466121602,0.507940967,0.464148093,0.568649557,0.555116987,0.430504639,0.453340839,0.528239811,0.475143297,0.459731217,0.26473075,0.231463204,0.268489803,0.468189074,0.520627748,0.306362177,0.343670698,0.490555389,0.50747109,0.359082786,0.281458499,0.380791274,0.401090121,0.540080807,0.558970011,0.336246592,0.204210128,0.09538577,0.133070199,0.059862794,0.036838644,0.075556807
2013030103,2013,3,1,3,0.27710928133064516,0.26662343394940474,0.23122069222311828,0.25611627456111113,0.27547535683467744,0.23739203283764368,W1,0.412743158,0.399210589,0.488863825,0.759515066,0.752748788,0.506531335,0.339629726,0.290010333,0.249318671,0.36180809,0.236349962,0.298092281,0.30006578,0.268019917,0.183723328,0.183159472,0.170378721,0.271027152,0.466121602,0.507940967,0.464148093,0.568649557,0.555116987,0.430504639,0.453340839,0.528239811,0.475143297,0.459731217,0.26473075,0.231463204,0.268489803,0.468189074,0.520627748,0.306362177,0.343670698,0.490555389,0.50747109,0.359082786,0.281458499,0.380791274,0.401090121,0.540080807,0.558970011,0.336246592,0.204210128,0.09538577,0.133070199,0.059862794,0.036838644
2013030104,2013,3,1,4,0.27710928133064516,0.26662343394940474,0.23122069222311828,0.25611627456111113,0.27547535683467744,0.23739203283764368,W1,0.608683381,0.412743158,0.399210589,0.488863825,0.759515066,0.752748788,0.506531335,0.339629726,0.290010333,0.249318671,0.36180809,0.236349962,0.298092281,0.30006578,0.268019917,0.183723328,0.183159472,0.170378721,0.271027152,0.466121602,0.507940967,0.464148093,0.568649557,0.555116987,0.430504639,0.453340839,0.528239811,0.475143297,0.459731217,0.26473075,0.231463204,0.268489803,0.468189074,0.520627748,0.306362177,0.343670698,0.490555389,0.50747109,0.359082786,0.281458499,0.380791274,0.401090121,0.540080807,0.558970011,0.336246592,0.204210128,0.09538577,0.133070199,0.059862794
2013030105,2013,3,1,5,0.27710928133064516,0.26662343394940474,0.23122069222311828,0.25611627456111113,0.27547535683467744,0.23739203283764368,W1,0.692510088,0.608683381,0.412743158,0.399210589,0.488863825,0.759515066,0.752748788,0.506531335,0.339629726,0.290010333,0.249318671,0.36180809,0.236349962,0.298092281,0.30006578,0.268019917,0.183723328,0.183159472,0.170378721,0.271027152,0.466121602,0.507940967,0.464148093,0.568649557,0.555116987,0.430504639,0.453340839,0.528239811,0.475143297,0.459731217,0.26473075,0.231463204,0.268489803,0.468189074,0.520627748,0.306362177,0.343670698,0.490555389,0.50747109,0.359082786,0.281458499,0.380791274,0.401090121,0.540080807,0.558970011,0.336246592,0.204210128,0.09538577,0.133070199
2013030106,2013,3,1,6,0.27710928133064516,0.26662343394940474,0.23122069222311828,0.25611627456111113,0.27547535683467744,0.23739203283764368,W1,0.847382739,0.692510088,0.608683381,0.412743158,0.399210589,0.488863825,0.759515066,0.752748788,0.506531335,0.339629726,0.290010333,0.249318671,0.36180809,0.236349962,0.298092281,0.30006578,0.268019917,0.183723328,0.183159472,0.170378721,0.271027152,0.466121602,0.507940967,0.464148093,0.568649557,0.555116987,0.430504639,0.453340839,0.528239811,0.475143297,0.459731217,0.26473075,0.231463204,0.268489803,0.468189074,0.520627748,0.306362177,0.343670698,0.490555389,0.50747109,0.359082786,0.281458499,0.380791274,0.401090121,0.540080807,0.558970011,0.336246592,0.204210128,0.09538577
2013030107,2013,3,1,7,0.27710928133064516,0.26662343394940474,0.23122069222311828,0.25611627456111113,0.27547535683467744,0.23739203283764368,W1,0.934310681,0.847382739,0.692510088,0.608683381,0.412743158,0.399210589,0.488863825,0.759515066,0.752748788,0.506531335,0.339629726,0.290010333,0.249318671,0.36180809,0.236349962,0.298092281,0.30006578,0.268019917,0.183723328,0.183159472,0.170378721,0.271027152,0.466121602,0.507940967,0.464148093,0.568649557,0.555116987,0.430504639,0.453340839,0.528239811,0.475143297,0.459731217,0.26473075,0.231463204,0.268489803,0.468189074,0.520627748,0.306362177,0.343670698,0.490555389,0.50747109,0.359082786,0.281458499,0.380791274,0.401090121,0.540080807,0.558970011,0.336246592,0.204210128
2013030108,2013,3,1,8,0.27710928133064516,0.26662343394940474,0.23122069222311828,0.25611627456111113,0.27547535683467744,0.23739203283764368,W1,0.929048005,0.934310681,0.847382739,0.692510088,0.608683381,0.412743158,0.399210589,0.488863825,0.759515066,0.752748788,0.506531335,0.339629726,0.290010333,0.249318671,0.36180809,0.236349962,0.298092281,0.30006578,0.268019917,0.183723328,0.183159472,0.170378721,0.271027152,0.466121602,0.507940967,0.464148093,0.568649557,0.555116987,0.430504639,0.453340839,0.528239811,0.475143297,0.459731217,0.26473075,0.231463204,0.268489803,0.468189074,0.520627748,0.306362177,0.343670698,0.490555389,0.50747109,0.359082786,0.281458499,0.380791274,0.401090121,0.540080807,0.558970011,0.336246592
2013030109,2013,3,1,9,0.27710928133064516,0.26662343394940474,0.23122069222311828,0.25611627456111113,0.27547535683467744,0.23739203283764368,W1,0.943990208,0.929048005,0.934310681,0.847382739,0.692510088,0.608683381,0.412743158,0.399210589,0.488863825,0.759515066,0.752748788,0.506531335,0.339629726,0.290010333,0.249318671,0.36180809,0.236349962,0.298092281,0.30006578,0.268019917,0.183723328,0.183159472,0.170378721,0.271027152,0.466121602,0.507940967,0.464148093,0.568649557,0.555116987,0.430504639,0.453340839,0.528239811,0.475143297,0.459731217,0.26473075,0.231463204,0.268489803,0.468189074,0.520627748,0.306362177,0.343670698,0.490555389,0.50747109,0.359082786,0.281458499,0.380791274,0.401090121,0.540080807,0.558970011
